iter	RMSE
317	1320854.302
318	1318633.505
319	1316558.454
320	1316079.893
321	1314796.018
322	1313899.83
323	1312041.032
324	1310120.865
325	1308443.006
326	1306442.502
327	1304843.672
328	1304184.755
329	1301935.793
330	1300365.454
331	1298273.457
332	1296316.144
333	1294492.727
334	1292817.6
335	1291462.383
336	1289867.209
337	1288342.446
338	1287327.481
339	1283823.376
340	1282816.689
341	1282174.75
342	1281213.266
343	1279902.871
344	1276586.783
345	1274651.677
346	1271960.314
347	1270669.019
348	1268271.924
349	1266626.64
350	1265935.821
351	1264508.767
352	1262367.39
353	1261605.553
354	1259973.752
355	1258886.03
356	1256750.438
357	1254612.135
358	1251965.371
359	1250400.519
360	1247938.033
361	1246047.755
362	1244523.435
363	1244274.35
364	1242726.2
365	1240885.821
366	1238222.617
367	1236364.244
368	1233053.474
369	1232225.285
370	1230939.979
371	1229516.937
372	1227236.357
373	1226305.795
374	1224912.513
375	1222073.666
376	1220442.736
377	1219540.563
378	1217945.119
379	1216775.683
380	1215259.962
381	1214437.278
382	1212632.231
383	1212120.731
384	1211129.058
385	1210036.129
386	1209105.182
387	1206887.976
388	1203711.897
389	1202595.451
390	1201581.387
391	1199815.636
392	1198223.698
393	1196976.971
394	1195744.635
395	1193175.078
396	1192304.781
397	1191267.837
398	1190277.384
399	1188893.194
400	1188483.221
401	1187086.184
402	1185830.669
403	1185167.207
404	1183987.682
405	1180851.783
406	1178120.005
407	1176978.946
408	1176084.937
409	1173088.621
410	1172349.822
411	1171766.178
412	1169114.768
413	1167216.687
414	1165340.436
415	1163346.502
416	1160992.152
417	1160317.635
418	1158689.168
419	1155606.909
420	1154009.426
421	1153617.156
422	1151706.063
423	1150526.071
424	1149090.67
425	1146997.542
426	1144217.712
427	1143481.761
428	1142707.076
429	1142205.217
430	1139934.528
431	1139136.719
432	1138265.062
