iter	Passed	Remaining
226	330	1125
227	331	1123
228	333	1121
229	334	1119
230	335	1117
231	336	1115
232	338	1112
233	339	1110
234	340	1108
235	341	1105
236	342	1103
237	344	1101
238	346	1101
239	347	1101
240	349	1100
241	350	1098
242	351	1096
243	353	1093
244	354	1091
245	355	1089
246	356	1087
247	357	1085
248	359	1084
249	360	1082
250	362	1080
251	363	1078
252	364	1075
253	365	1073
254	366	1071
255	368	1069
256	369	1067
257	370	1065
258	371	1063
259	372	1061
260	374	1059
261	375	1057
262	376	1056
263	378	1054
264	379	1052
265	380	1050
266	381	1048
267	383	1046
268	384	1044
269	385	1042
270	386	1040
271	388	1038
272	389	1037
273	390	1035
274	392	1034
275	393	1031
276	394	1029
277	395	1027
278	398	1028
279	400	1030
280	402	1030
281	404	1030
282	406	1029
283	409	1031
284	410	1030
285	412	1030
286	414	1029
287	415	1027
288	417	1027
289	419	1027
290	421	1025
291	422	1023
292	423	1021
293	424	1019
294	425	1018
295	427	1016
296	428	1014
297	429	1012
298	430	1010
299	432	1009
300	433	1007
301	435	1005
302	436	1004
303	437	1002
304	439	1000
305	440	998
306	441	996
307	442	994
308	443	992
309	445	990
310	446	988
311	447	987
312	449	986
313	450	984
314	451	982
315	452	980
316	454	978
317	456	978
318	457	976
319	458	974
320	459	972
321	460	970
322	462	969
323	463	967
324	464	965
325	466	963
326	467	961
327	468	960
328	469	958
329	471	956
330	472	954
331	473	952
332	474	950
333	475	948
334	477	947
335	478	946
336	480	944
337	481	943
338	482	941
339	484	939
340	485	937
341	486	936
342	489	936
343	490	935
344	492	934
345	493	933
346	495	931
347	496	930
348	497	928
349	499	926
350	500	925
351	501	923
352	503	922
353	504	920
354	505	918
355	506	916
356	508	915
357	509	913
358	510	912
359	512	910
360	513	908
361	514	906
362	515	905
363	516	903
364	518	901
365	519	900
366	521	898
367	522	897
368	524	897
369	526	896
370	527	894
371	528	892
372	530	891
373	531	889
374	532	887
375	533	886
376	536	885
377	537	884
378	539	884
379	540	882
380	542	881
381	544	881
382	545	879
383	547	877
384	548	876
385	549	874
386	551	872
387	552	871
388	554	871
389	556	871
390	558	870
391	559	868
392	561	866
393	562	864
394	563	862
395	564	860
396	566	860
397	568	859
398	569	858
399	571	857
400	572	855
401	574	854
402	576	853
403	577	852
404	579	851
405	582	851
406	583	850
407	584	848
408	586	848
409	588	847
410	590	845
411	592	845
412	594	844
413	595	843
414	597	842
415	598	840
416	600	839
417	601	837
418	602	835
419	604	834
420	605	833
421	607	831
422	608	830
423	609	828
424	611	826
425	612	825
426	614	823
427	615	822
428	617	821
429	618	820
430	619	818
431	621	817
432	622	815
